Longitude,Latitude,objID,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,pH,pH Category,EC,EC Category,OC,OC Category,N,N Category,P,P Category,K,K Category,S,S Category,Zn,Zn Category,Fe,Fe Category,Cu,Cu Category,Mn,Mn Category,B,B Category
77.8125,18.751111,8437,1482,21,1836.5,1389,1273,1166,1237.5,1246.5,1352.5,1530.5,1464.5,1705.5,393.5,7.25,MAl,0.69,N,1.16,VH,12.46,VL,177,VH,1.31,VL,4.96,D,15.7,S,39,S,705.69,S,0.49,D,0.57,S
77.4339,18.3516,7003,1409.5,15.5,1613,1217.5,1214,1105,1181,1166.5,1259.5,1420,1338.5,1495,352,7.18,MAl,0.57,N,0.43,L,339,M,13.63,M,426,H,10.33,S,0.43,D,0.81,D,0.81,S,0.87,D,0.87,S
77.4339,18.3508,7011,1415,16,1631.5,1203.5,1208,1103.5,1166,1185.5,1317,1449.5,1334.5,1579.5,365,7.63,MAl,0.57,N,0.51,M,338,M,12.28,M,432,H,9.24,D,0.48,D,0.66,D,0.76,S,0.82,D,0.62,S
77.558857,18.314899,5390,1377,25.5,1333,1043.5,1139.5,975.5,989,966.5,1039.5,1152,1090,1247,323.5,7.48,MAl,0.18,N,0.39,L,144.2,L,25.48,H,753,VH,12.45,S,0.8,S,2.57,D,0.87,S,5.45,S,0.29,D
78.018333,19.870278,9516,1424,11,2599.75,1880.5,1310,1294,1487,1586,1881,2161,2106,2388.5,542.5,8.41,MAl,0.336,N,0.9,H,N/A,N/A,24,M,311,M,N/A,N/A,0.3,D,2.88,D,1.28,S,17.18,S,N/A,N/A
77.852723,19.438394,10027,1372,12,1462,1154,1151,1046.5,1133,1129,1234,1323.5,1265.5,1453.5,351,7.61,MAl,0.339,N,1.05,VH,N/A,N/A,26,H,280,M,6.91,D,0.33,D,3.06,D,0.97,S,12.14,S,2,S
77.415986,18.35699,7308,1396,17.5,1319.5,1001.5,1155,1015,1047,1050,1125.5,1239,1177,1353.5,338.5,7.56,MAl,0.31,N,0.73,M,197.5,L,25.35,H,511,H,25.1,S,0.82,S,5.37,S,0.87,S,3.49,S,0.16,D
77.45363,19.24621,10343,1398,11.5,1686,1304,1184,1099.5,1146.5,1197,1342.5,1547.5,1448,1695,376.5,8.33,MAl,0.245,N,0.45,L,N/A,N/A,25,M,618,H,N/A,N/A,0.76,S,2.57,D,1.64,S,4.59,S,N/A,N/A
77.41662,18.357148,6534,1414.5,18,1703,1275,1202,1089.5,1190,1204.5,1306.5,1425,1386.5,1603.5,372,7.39,MAl,0.1,N,0.66,M,15.99,VL,33.19,H,685,VH,21.15,S,0.92,S,3.17,D,0.74,S,3.41,S,0.19,D
77.42382,19.18662,11699,1450.5,12.5,2228,1641,1313.5,1293.5,1526,1637,1801,2101,2004.5,2271.5,468,8.11,MAl,0.49,N,0.45,L,N/A,N/A,45,VH,485,H,N/A,N/A,0.78,S,4.54,S,1.24,S,12.4,S,N/A,N/A
77.520149,18.540176,6912,1453,18.5,1895,1276,1242.5,1127.5,1159,1223,1554,1786,1642.5,1948,389.5,7.49,MAl,0.48,N,0.39,L,346,M,12.96,M,481,H,10.62,S,0.59,D,0.56,D,0.93,S,0.97,D,0.73,S
77.784968,18.784596,3698,1485.5,37,1954,1511.5,1292,1212.5,1301.5,1310.5,1419,1585,1509,1756.5,410,7.95,MAl,0.32,N,0.45,L,163.08,L,30.1,H,511,H,23.16,S,0.86,S,3.96,D,0.46,S,3.19,S,0.11,D
77.7813981,19.3802338,10978,1349.5,10.5,1404.5,1079,1106.5,998,1023.5,1023.5,1138,1247,1148.5,1365,349.5,8.45,MAl,0.224,N,0.52,M,N/A,N/A,17,M,431,H,N/A,N/A,0.49,D,5.42,S,1.32,S,7.76,S,N/A,N/A
77.879395,19.439141,9970,1433,14.5,1885.25,1516,1273.75,1224.5,1383,1387,1506.5,1646.5,1534,1740.25,405,8.08,MAl,0.279,N,0.6,M,N/A,N/A,11,M,449,H,5.31,D,0.56,D,2.81,D,1.51,S,4.17,S,0.82,S
77.525737,18.584079,6894,1472.5,13.75,1782.5,1485,1256.5,1142,1209.5,1208.5,1317,1449.5,1382.5,1598,367,6.97,SlAc,0.79,N,0.47,L,352,M,13.32,M,481,H,10.92,S,0.43,D,0.74,D,0.68,S,0.92,D,0.84,S
