system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861673+204039,1293.0,7.0,1300.0,1009.0,1098.0,985.0,1064.0,1039.0,1189.0,1261.0,1243.0,1413.0,360.0,18.32918014141051,77.40544749707625,0.07758994400501251,-0.022414471954107285,0.0,0.0,0.0,
0_+861674+204036,1364.5,16.5,1125.5,880.5,1130.0,997.0,991.0,970.5,1038.5,1140.0,1091.0,1227.5,306.0,18.328910646825275,77.40553732860467,0.04834460839629173,-0.015549035742878914,0.0,0.0,0.0,
0_+861674+204037,1364.5,16.5,1140.0,878.0,1128.0,974.5,985.0,968.5,1020.0,1114.0,1096.5,1187.5,306.0,18.329000478353688,77.40553732860467,0.053954705595970154,-0.019426874816417694,0.0,0.0,0.0,
0_+861674+204038,1364.5,16.5,1140.0,878.0,1128.5,963.5,978.0,968.5,1020.0,1114.0,1050.5,1187.5,306.0,18.329090309882098,77.40553732860467,0.03615877777338028,-0.04081152379512787,0.0,0.0,0.0,
0_+861674+204039,1364.5,16.5,1203.5,931.0,1120.5,971.0,960.0,996.0,1055.0,1175.5,1079.5,1232.0,306.0,18.32918014141051,77.40553732860467,0.05903570353984833,-0.054227858781814575,0.0,0.0,0.0,
0_+861674+204040,1364.5,16.5,1203.5,931.0,1143.0,994.0,1014.0,996.0,1055.0,1175.5,1168.0,1232.0,306.0,18.32926997293892,77.40553732860467,0.07063879817724228,-0.014935633167624474,0.0,0.0,0.0,
0_+861675+204032,,,,,,,,,,,,,,18.328551320711625,77.40562716013308,,,,,,
0_+861675+204033,1426.0,27.0,1195.0,870.0,1178.0,1040.0,1028.0,1000.0,1064.0,1155.0,1162.0,1249.0,244.0,18.32864115224004,77.40562716013308,0.06118721514940262,-0.01400084886699915,0.0,0.0,0.0,
0_+861675+204034,1356.5,17.5,1203.0,909.0,1118.0,971.5,986.5,1002.0,1072.5,1174.0,1099.0,1258.5,296.5,18.328730983768452,77.40562716013308,0.05408167093992233,-0.04527406394481659,0.0,0.0,0.0,
0_+861675+204035,1364.5,16.5,1125.5,880.5,1104.5,958.5,957.5,970.5,1038.5,1140.0,1036.5,1227.5,306.0,18.32882081529686,77.40562716013308,0.03975813835859299,-0.04117978736758232,0.0,0.0,0.0,
0_+861675+204036,1364.5,16.5,1125.5,880.5,1100.5,942.5,937.0,970.5,1038.5,1140.0,1019.0,1227.5,306.0,18.328910646825275,77.40562716013308,0.04221177101135254,-0.04965589568018913,0.0,0.0,0.0,
0_+861675+204037,1364.5,16.5,1140.0,878.0,1128.0,974.5,985.0,968.5,1020.0,1114.0,1096.5,1187.5,306.0,18.329000478353688,77.40562716013308,0.053954705595970154,-0.019426874816417694,0.0,0.0,0.0,
0_+861675+204038,1364.5,16.5,1140.0,878.0,1128.5,963.5,978.0,968.5,1020.0,1114.0,1050.5,1187.5,306.0,18.329090309882098,77.40562716013308,0.03615877777338028,-0.04081152379512787,0.0,0.0,0.0,
0_+861675+204039,1364.5,16.5,1203.5,931.0,1120.5,971.0,960.0,996.0,1055.0,1175.5,1079.5,1232.0,306.0,18.32918014141051,77.40562716013308,0.05903570353984833,-0.054227858781814575,0.0,0.0,0.0,
0_+861675+204040,1364.5,16.5,1203.5,931.0,1143.0,994.0,1014.0,996.0,1055.0,1175.5,1168.0,1232.0,306.0,18.32926997293892,77.40562716013308,0.07063879817724228,-0.014935633167624474,0.0,0.0,0.0,
0_+861676+204009,1391.5,18.0,1676.0,1247.0,1178.5,1059.5,1103.0,1157.5,1325.5,1503.5,1506.0,1633.0,400.0,18.326485195558153,77.40571699166148,0.15420395135879517,-0.05362122505903244,0.0,0.0,0.0,
