system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861757+203982,1448.0,25.0,1635.0,1103.0,1202.0,1071.0,1100.0,1175.0,1422.0,1697.0,1566.0,1875.0,285.0,18.32405974429103,77.41299334546285,0.17479370534420013,-0.021555764600634575,0.0,0.0,0.0,
0_+861758+203982,1445.0,24.0,1496.0,1076.0,1207.0,1081.0,1098.0,1142.0,1321.0,1486.0,1434.0,1603.0,282.0,18.32405974429103,77.41308317699126,0.13270142674446106,-0.021160408854484558,0.0,0.0,0.0,
0_+861758+203983,1379.0,16.5,1500.5,1089.5,1170.0,1070.5,1127.0,1151.5,1347.0,1515.5,1350.0,1624.5,352.0,18.32414957581944,77.41308317699126,0.0903027281165123,-0.05285939574241638,0.0,0.0,0.0,
0_+861758+203984,1379.0,16.5,1391.0,1093.0,1182.5,1068.5,1128.5,1120.5,1216.5,1330.5,1304.5,1463.5,352.0,18.324239407347854,77.41308317699126,0.07221750915050507,-0.03225952386856079,0.0,0.0,0.0,
0_+861758+203985,1379.0,16.5,1391.0,1093.0,1172.5,1045.5,1098.0,1120.5,1216.5,1330.5,1242.0,1463.5,352.0,18.324329238876263,77.41308317699126,0.061192210763692856,-0.05686306208372116,0.0,0.0,0.0,
0_+861758+203986,1379.0,17.0,1297.5,1014.5,1147.0,1025.0,1056.0,1067.0,1150.5,1262.5,1177.5,1355.0,322.0,18.324419070404677,77.41308317699126,0.05411725118756294,-0.048710793256759644,0.0,0.0,0.0,
0_+861759+203982,1379.0,16.5,1500.5,1089.5,1155.0,1059.0,1090.0,1151.5,1347.0,1515.5,1357.0,1624.5,352.0,18.32405974429103,77.41317300851968,0.10839423537254333,-0.05115126073360443,0.0,0.0,0.0,
0_+861759+203983,1379.0,16.5,1500.5,1089.5,1186.5,1081.5,1139.5,1151.5,1347.0,1515.5,1301.5,1624.5,352.0,18.32414957581944,77.41317300851968,0.06623125076293945,-0.07113943994045258,0.0,0.0,0.0,
0_+861759+203984,1379.0,16.5,1391.0,1093.0,1170.5,1073.0,1131.5,1120.5,1216.5,1330.5,1293.0,1463.5,352.0,18.324239407347854,77.41317300851968,0.06654828041791916,-0.03653188794851303,0.0,0.0,0.0,
0_+861759+203985,1379.0,16.5,1391.0,1093.0,1167.0,1062.0,1108.5,1120.5,1216.5,1330.5,1257.0,1463.5,352.0,18.324329238876263,77.41317300851968,0.06267742067575455,-0.050672002136707306,0.0,0.0,0.0,
0_+861759+203986,1379.0,17.0,1297.5,1014.5,1161.5,1043.5,1087.0,1067.0,1150.5,1262.5,1216.5,1355.0,322.0,18.324419070404677,77.41317300851968,0.056046128273010254,-0.03237142041325569,0.0,0.0,0.0,
0_+861759+203987,1379.0,17.0,1297.5,1014.5,1148.0,1019.0,1059.0,1067.0,1150.5,1262.5,1174.5,1355.0,322.0,18.32450890193309,77.41317300851968,0.0516834519803524,-0.04978339001536369,0.0,0.0,0.0,
0_+861759+203988,1379.0,17.0,1232.5,974.5,1146.0,1012.0,1047.5,1022.0,1102.0,1215.5,1170.0,1293.5,322.0,18.3245987334615,77.41317300851968,0.05530426278710365,-0.026029592379927635,0.0,0.0,0.0,
0_+861759+203989,1379.0,17.0,1232.5,974.5,1130.0,987.5,1024.5,1022.0,1102.0,1215.5,1119.0,1293.5,322.0,18.324688564989913,77.41317300851968,0.04381676763296127,-0.04850964620709419,0.0,0.0,0.0,
0_+861759+203990,1379.0,17.0,1252.0,967.5,1119.0,970.0,994.5,1002.5,1084.5,1192.5,1104.5,1299.0,322.0,18.324778396518326,77.41317300851968,0.05264933779835701,-0.06258833408355713,0.0,0.0,0.0,
0_+861760+203982,1445.0,24.0,1366.0,1033.0,1231.0,1103.0,1167.0,1109.0,1189.0,1340.0,1306.0,1454.0,282.0,18.32405974429103,77.41326284004809,0.05620703473687172,-0.022455090656876564,0.0,0.0,0.0,
0_+861760+203983,1379.0,16.5,1383.5,1058.5,1178.0,1076.5,1142.0,1130.0,1245.0,1376.0,1279.0,1497.0,352.0,18.32414957581944,77.41326284004809,0.05645451322197914,-0.03933625668287277,0.0,0.0,0.0,
0_+861760+203984,1379.0,16.5,1325.5,1054.5,1165.0,1044.0,1096.0,1094.0,1149.0,1280.5,1243.5,1367.0,352.0,18.324239407347854,77.41326284004809,0.06310983747243881,-0.03195604681968689,0.0,0.0,0.0,
0_+861760+203985,1379.0,16.5,1325.5,1054.5,1168.5,1045.0,1086.0,1094.0,1149.0,1280.5,1224.0,1367.0,352.0,18.324329238876263,77.41326284004809,0.060030803084373474,-0.03981704264879227,0.0,0.0,0.0,
0_+861760+203986,1379.0,17.0,1286.0,1025.5,1166.5,1045.0,1078.5,1056.5,1133.5,1262.0,1195.0,1348.5,322.0,18.324419070404677,77.41326284004809,0.05106879025697708,-0.03687085583806038,0.0,0.0,0.0,
