system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861769+204024,1439.0,26.0,1177.0,872.0,1164.0,1015.0,1005.0,977.0,1083.0,1165.0,1126.0,1267.0,248.0,18.32783266848433,77.4140713238038,0.0567808523774147,-0.022145027294754982,0.0,0.0,0.0,
0_+861769+204025,1363.5,18.0,1168.5,880.5,1110.0,961.0,973.5,963.5,1062.0,1164.0,1091.5,1258.0,303.0,18.327922500012743,77.4140713238038,0.057329945266246796,-0.0340571254491806,0.0,0.0,0.0,
0_+861769+204026,1363.5,18.0,1141.0,889.5,1107.5,966.0,967.0,960.5,1027.0,1152.0,1066.0,1232.0,303.0,18.328012331541156,77.4140713238038,0.04901183024048805,-0.033984143286943436,0.0,0.0,0.0,
0_+861769+204027,1363.5,18.0,1141.0,889.5,1114.5,957.5,974.0,960.5,1027.0,1152.0,1085.0,1232.0,303.0,18.328102163069566,77.4140713238038,0.0541192926466465,-0.02509387582540512,0.0,0.0,0.0,
0_+861769+204028,1369.0,17.0,1182.5,908.5,1117.0,963.5,970.0,971.0,1053.0,1154.5,1072.0,1256.5,317.0,18.32819199459798,77.4140713238038,0.050315458327531815,-0.04890403896570206,0.0,0.0,0.0,
0_+861769+204029,1369.0,17.0,1182.5,908.5,1115.0,969.0,972.0,971.0,1053.0,1154.5,1095.5,1256.5,317.0,18.32828182612639,77.4140713238038,0.06019258499145508,-0.03808815777301788,0.0,0.0,0.0,
0_+861769+204030,1369.0,17.0,1261.0,979.0,1126.5,979.0,987.5,1021.5,1100.5,1221.5,1118.0,1329.5,317.0,18.328371657654802,77.4140713238038,0.0623747780919075,-0.059862926602363586,0.0,0.0,0.0,
0_+861770+204024,1363.5,18.0,1168.5,880.5,1113.5,968.5,968.5,963.5,1062.0,1164.0,1100.0,1258.0,303.0,18.32783266848433,77.41416115533221,0.06377584487199783,-0.030189156532287598,0.0,0.0,0.0,
0_+861770+204025,1363.5,18.0,1168.5,880.5,1106.5,962.0,955.0,963.5,1062.0,1164.0,1049.0,1258.0,303.0,18.327922500012743,77.41416115533221,0.04726387560367584,-0.053903594613075256,0.0,0.0,0.0,
0_+861770+204026,1363.5,18.0,1141.0,889.5,1111.0,967.5,963.5,960.5,1027.0,1152.0,1069.0,1232.0,303.0,18.328012331541156,77.41416115533221,0.052550334483385086,-0.03256617486476898,0.0,0.0,0.0,
0_+861770+204027,1363.5,18.0,1141.0,889.5,1117.0,974.0,991.0,960.5,1027.0,1152.0,1118.0,1232.0,303.0,18.328102163069566,77.41416115533221,0.060548242181539536,-0.01014338806271553,0.0,0.0,0.0,
0_+861770+204028,1369.0,17.0,1182.5,908.5,1115.5,973.0,989.5,971.0,1053.0,1154.5,1107.5,1256.5,317.0,18.32819199459798,77.41416115533221,0.056698720902204514,-0.032657191157341,0.0,0.0,0.0,
0_+861770+204029,1369.0,17.0,1182.5,908.5,1120.5,960.5,1006.0,971.0,1053.0,1154.5,1121.0,1256.5,317.0,18.32828182612639,77.41416115533221,0.05436506122350693,-0.026834147050976753,0.0,0.0,0.0,
0_+861770+204030,1369.0,17.0,1261.0,979.0,1135.0,984.5,1037.5,1021.5,1100.5,1221.5,1144.0,1329.5,317.0,18.328371657654802,77.41416115533221,0.04919687658548355,-0.048643529415130615,0.0,0.0,0.0,
0_+861770+204031,1369.0,17.0,1261.0,979.0,1143.5,1009.0,1065.0,1021.5,1100.5,1221.5,1211.0,1329.5,317.0,18.328461489183216,77.41416115533221,0.06470420956611633,-0.02002400904893875,0.0,0.0,0.0,
0_+861770+204032,1369.0,17.0,1332.0,1019.0,1164.5,1036.5,1082.0,1033.0,1135.5,1226.0,1249.5,1359.0,317.0,18.328551320711625,77.41416115533221,0.07181552797555923,-0.0318165086209774,0.0,0.0,0.0,
0_+861770+204033,1369.0,17.0,1332.0,1019.0,1151.0,1016.5,1054.5,1033.0,1135.5,1226.0,1196.0,1359.0,317.0,18.32864115224004,77.41416115533221,0.06244787573814392,-0.05395641177892685,0.0,0.0,0.0,
0_+861770+204034,1383.5,16.5,1418.0,1087.5,1126.0,994.5,1025.5,1089.0,1205.5,1348.0,1176.5,1454.0,344.0,18.328730983768452,77.41416115533221,0.06902482360601425,-0.09223657846450806,0.0,0.0,0.0,
0_+861771+204024,1373.5,17.5,1165.0,884.0,1119.5,962.0,971.0,955.5,1013.5,1131.5,1052.0,1212.5,321.0,18.32783266848433,77.41425098686062,0.04015151411294937,-0.05095860734581947,0.0,0.0,0.0,
0_+861771+204025,1373.5,17.5,1165.0,884.0,1115.5,957.5,941.5,955.5,1013.5,1131.5,1028.0,1212.5,321.0,18.327922500012743,77.41425098686062,0.044227924197912216,-0.062499064952135086,0.0,0.0,0.0,
0_+861771+204026,1373.5,17.5,1141.5,885.0,1104.0,956.0,953.5,959.5,1019.5,1131.5,1053.0,1217.5,321.0,18.328012331541156,77.41425098686062,0.050240881741046906,-0.04031284153461456,0.0,0.0,0.0,
0_+861771+204027,1373.5,17.5,1141.5,885.0,1109.5,952.5,968.5,959.5,1019.5,1131.5,1081.5,1217.5,321.0,18.328102163069566,77.41425098686062,0.055797088891267776,-0.026983052492141724,0.0,0.0,0.0,
0_+861771+204028,1373.5,16.5,1189.0,904.0,1103.0,955.0,964.0,968.0,1035.0,1156.0,1082.5,1221.0,329.0,18.32819199459798,77.41425098686062,0.058289382606744766,-0.04668687283992767,0.0,0.0,0.0,
0_+861771+204029,1373.5,16.5,1189.0,904.0,1102.5,953.0,957.5,968.0,1035.0,1156.0,1067.0,1221.0,329.0,18.32828182612639,77.41425098686062,0.054572951048612595,-0.053887225687503815,0.0,0.0,0.0,
0_+861771+204030,1373.5,16.5,1320.5,1037.5,1119.5,974.5,991.0,1040.5,1147.0,1246.5,1123.5,1366.0,329.0,18.328371657654802,77.41425098686062,0.06325677037239075,-0.08011423051357269,0.0,0.0,0.0,
0_+861771+204031,1373.5,16.5,1320.5,1037.5,1151.0,1019.0,1079.5,1040.5,1147.0,1246.5,1247.0,1366.0,329.0,18.328461489183216,77.41425098686062,0.0722273662686348,-0.02834431827068329,0.0,0.0,0.0,
0_+861771+204032,1373.5,16.5,1418.5,1079.5,1170.0,1040.5,1109.0,1079.5,1194.5,1299.0,1271.0,1410.0,329.0,18.328551320711625,77.41425098686062,0.06816274672746658,-0.05478891730308533,0.0,0.0,0.0,
0_+861771+204033,1373.5,16.5,1418.5,1079.5,1151.0,999.0,1044.0,1079.5,1194.5,1299.0,1201.0,1410.0,329.0,18.32864115224004,77.41425098686062,0.0698552057147026,-0.0829869955778122,0.0,0.0,0.0,
0_+861771+204034,1378.0,17.0,1447.5,1083.5,1123.5,985.5,997.0,1081.0,1267.5,1460.5,1254.0,1556.0,342.5,18.328730983768452,77.41425098686062,0.11480384320020676,-0.07123640924692154,0.0,0.0,0.0,
0_+861772+204024,1373.5,17.5,1165.0,884.0,1118.5,955.5,971.0,955.5,1013.5,1131.5,1048.5,1212.5,321.0,18.32783266848433,77.41434081838904,0.0385168232023716,-0.05264108628034592,0.0,0.0,0.0,
0_+861772+204025,1373.5,17.5,1165.0,884.0,1115.0,951.5,941.0,955.5,1013.5,1131.5,1041.0,1212.5,321.0,18.327922500012743,77.41434081838904,0.05090378597378731,-0.05619792267680168,0.0,0.0,0.0,
0_+861772+204026,1373.5,17.5,1141.5,885.0,1112.5,951.0,952.0,959.5,1019.5,1131.5,1054.5,1217.5,321.0,18.328012331541156,77.41434081838904,0.05149538815021515,-0.0395432747900486,0.0,0.0,0.0,
0_+861772+204027,1373.5,17.5,1141.5,885.0,1102.5,953.5,949.5,959.5,1019.5,1131.5,1068.5,1217.5,321.0,18.328102163069566,77.41434081838904,0.05944052338600159,-0.032957255840301514,0.0,0.0,0.0,
